Moniker,Main Url,Bias,Reliability,Mediatype,has_wikipedia_page,wikipedia_title,wikipedia_avg_daily_views,wikipedia_interest_score,source_prominence_score,robust_influence_score
Mercola,http://mercola.com,18.07,14.53,Web/Articles,True,Joseph Mercola,255.0,2.551584699453552,30,10.79
Miami Herald,http://miamiherald.com,-8.24,38.74,Web/Articles,True,Miami Herald,99.0,0.9934699453551913,30,9.7
Mirror - UK,https://www.mirror.co.uk,-3.41,26.88,Web/Articles,False,,,0.0,30,9.0
Mother Jones,https://www.motherjones.com/,-15.08,35.8,Web/Articles,True,Mother Jones,282.0,2.8227322404371584,30,10.98
MSNBC (website),http://msnbc.com/,-13.89,34.6,Web/Articles,True,MSNBC,1703.0,17.02795081967213,90,38.92
MSNBC TV Network,https://www.msnbc.com/schedule,-17.83,28.5,TV/Video,False,,,0.0,90,27.0
MSNBC: All In with Chris Hayes,https://www.msnbc.com/all,-18.43,22.4,TV/Video,True,MSNBC,1703.0,17.02795081967213,90,38.92
MSNBC: The Briefing with Jen Psaki,https://www.msnbc.com/jen-psaki,-19.11,25.48,TV/Video,True,MSNBC,1703.0,17.02795081967213,90,38.92
MSNBC: The Last Word with Lawrence O'Donnell,https://www.msnbc.com/the-last-word,-19.61,28.48,TV/Video,True,MSNBC,1703.0,17.02795081967213,90,38.92
MSNBC: The Rachel Maddow Show,https://www.msnbc.com/rachel-maddow-show,-17.89,35.15,TV/Video,True,MSNBC,1703.0,17.02795081967213,90,38.92
National Catholic Register,http://ncregister.com,11.37,31.78,Web/Articles,True,National Catholic Register,43.0,0.4346448087431694,30,9.3
National Review,https://www.nationalreview.com/,12.85,31.3,Web/Articles,True,National Review,533.0,5.331174863387978,30,12.73
Natural News,http://naturalnews.com,28.1,9.27,Web/Articles,True,Natural News,225.0,2.2503551912568307,50,16.58
NBC News (website),https://www.nbcnews.com,-5.62,42.77,Web/Articles,True,NBC News,556.0,5.55620218579235,90,30.89
New Republic,https://newrepublic.com/,-16.83,29.78,Web/Articles,True,The New Republic,731.0,7.3127868852459015,30,14.12
New York Post,https://nypost.com/,9.33,31.79,Web/Articles,True,New York Post,1163.0,11.633879781420765,30,17.14
New York Sun,http://nysun.com,12.84,31.5,Web/Articles,True,The New York Sun,135.0,1.3491803278688526,30,9.94
NewsBusters,https://www.newsbusters.org,20.48,19.99,Web/Articles,True,Media Research Center,146.0,1.4562295081967214,50,16.02
Newsday,http://newsday.com,-3.51,46.71,Web/Articles,True,Newsday,133.0,1.328360655737705,50,15.93
Newser,http://newser.com,-5.52,36.83,Web/Articles,True,Newser,15.0,0.14595628415300546,50,15.1
Newsmax (website),https://www.newsmax.com/,13.44,29.1,Web/Articles,True,Newsmax,815.0,8.146475409836064,50,20.7
NewsNation (website),http://newsnationnow.com,0.22,42.98,Web/Articles,True,NewsNation,1594.0,15.941010928961749,50,26.16
NewsNation: The Hill,https://www.newsnationnow.com/the-hill/,4.33,34.11,TV/Video,True,NewsNation,1594.0,15.941010928961749,70,32.16
NewsTarget,http://newstarget.com,29.87,7.74,Web/Articles,True,Natural News,225.0,2.2503551912568307,50,16.58
Newsweek,http://newsweek.com,-1.81,39.11,Web/Articles,True,Newsweek,747.0,7.474098360655738,50,20.23
NPR (website),https://www.npr.org/,-4.23,43.1,Web/Articles,True,NPR,1161.0,11.611065573770492,90,35.13
NPR News Now,https://www.npr.org/podcasts/500005/npr-news-now,-0.28,49.33,Podcast/Audio,True,NPR,1161.0,11.611065573770492,90,35.13
NPR: Code Switch,https://www.npr.org/podcasts/510312/codeswitch,-16.54,36.87,Podcast/Audio,True,NPR,1161.0,11.611065573770492,90,35.13
NPR: Up First,https://www.npr.org/podcasts/510318/up-first,-9.44,43.07,Podcast/Audio,True,NPR,1161.0,11.611065573770492,90,35.13
NutriTruth,http://nutritruth.org,26.29,8.0,Web/Articles,False,,,0.0,30,9.0
NY Daily News,http://nydailynews.com,-8.1,34.12,Web/Articles,True,New York Daily News,271.0,2.706311475409836,50,16.89
NYT: The Daily,https://www.nytimes.com/column/the-daily,-9.63,41.56,Podcast/Audio,True,The New York Times,4876.0,48.758005464480874,90,61.13
OAN Network (website),https://www.oann.com/,14.02,28.46,Web/Articles,False,,,0.0,30,9.0
OAN TV Network,https://www.oann.com/schedule/,22.33,16.33,TV/Video,False,,,0.0,50,15.0
Orange County Register,http://ocregister.com,5.43,40.58,Web/Articles,True,The Orange County Register,38.0,0.37846994535519124,30,9.26
OutKick,http://outkick.com,13.94,27.1,Web/Articles,True,OutKick,218.0,2.1817486338797814,30,10.53
Palmer Report,https://www.palmerreport.com/,-23.36,19.18,Web/Articles,True,Palmer Report,89.0,0.8889344262295081,30,9.62
Patch,http://patch.com,-3.54,46.09,Web/Articles,True,Patch Media,29.0,0.29448087431693987,30,9.21
PBS,https://www.pbs.org/,-3.93,43.42,Web/Articles,True,PBS,4124.0,41.23762295081967,70,49.87
PBS News Hour,https://www.pbs.org/show/newshour,-8.68,43.48,TV/Video,True,PBS News Hour,108.0,1.0782513661202187,70,21.75
People Magazine,http://people.com,-5.53,41.58,Web/Articles,True,People (magazine),995.0,9.948879781420764,30,15.96
PJ Media,https://pjmedia.com/,21.59,18.8,Web/Articles,True,PJ Media,75.0,0.7514207650273224,30,9.53
Pod Save America,https://crooked.com/podcast-series/pod-save-america/,-22.94,27.55,Podcast/Audio,True,Pod Save America,406.0,4.063005464480875,70,23.84
Politico,https://www.politico.com/,-5.33,42.37,Web/Articles,True,Politico,865.0,8.651092896174863,70,27.06
Politifact,http://politifact.com,-3.51,44.67,Web/Articles,True,PolitiFact,170.0,1.7027595628415302,30,10.19
PolitiZoom,http://politizoom.com,-19.11,17.54,Web/Articles,False,,,0.0,30,9.0
Poynter,http://poynter.org,-7.32,41.75,Web/Articles,True,Poynter,3.0,0.025191256830601094,30,9.02
PragerU,http://prageru.com,18.63,23.34,TV/Video,True,PragerU,776.0,7.758060109289618,30,14.43
ProPublica,https://www.propublica.org/,-6.79,47.27,Web/Articles,True,ProPublica,319.0,3.188743169398907,30,11.23
Published Reporter,http://publishedreporter.com,15.48,26.86,Web/Articles,False,,,0.0,30,9.0
Quillette,http://quillette.com,9.27,37.53,Web/Articles,True,Quillette,122.0,1.2171311475409836,30,9.85
Rasmussen Reports,http://rasmussenreports.com,13.78,34.05,Web/Articles,True,Rasmussen Reports,475.0,4.749535519125683,30,12.32
Raw Story,http://rawstory.com,-13.54,34.94,Web/Articles,True,Raw Story,133.0,1.3276229508196722,30,9.93
RealClearPolitics,http://realclearpolitics.com,14.45,26.9,Web/Articles,True,RealClearPolitics,486.0,4.862021857923497,30,12.4
Reason,https://reason.com/,4.72,36.29,Web/Articles,True,Reason,682.0,6.820027322404371,30,13.77
Rebel News,http://rebelnews.com,12.16,27.06,Web/Articles,True,Rebel News,344.0,3.4399180327868852,50,17.41
RedState,https://www.redstate.com/,21.57,20.85,Web/Articles,True,RedState,69.0,0.6945081967213115,30,9.49
Reuters,https://www.reuters.com/,-1.25,44.98,Web/Articles,True,Reuters,1426.0,14.262431693989072,90,36.98
Right Wing Watch | People For the American Way,https://www.peoplefor.org/rightwingwatch,-18.22,27.23,Web/Articles,True,People for the American Way,80.0,0.7957103825136612,30,9.56
Rolling Stone,http://rollingstone.com,-13.76,26.24,Web/Articles,True,Rolling Stone,2086.0,20.8581693989071,30,23.6
RT Russia Today,http://rt.com,11.46,28.66,Web/Articles,False,,,0.0,30,9.0
