Moniker,Main Url,Bias,Reliability,Mediatype
The Charlie Kirk Show,https://charliekirk.com/podcasts/,26.09,13.38,Podcast/Audio
The Christian Post,http://christianpost.com,10.65,36.16,Web/Articles
The College Fix,http://thecollegefix.com,10.31,34.39,Web/Articles
The Daily Signal,https://www.dailysignal.com/,17.10,20.15,Web/Articles
The Dispatch,http://thedispatch.com,5.33,41.19,Web/Articles
The Dispatch Podcast,https://thedispatch.com/podcast/dispatch-podcast/,5.98,38.81,Podcast/Audio
The Economist,https://www.economist.com/,-1.93,42.21,Web/Articles
The Epoch Times,http://theepochtimes.com,14.73,26.99,Web/Articles
The Federalist,http://thefederalist.com/,18.39,22.16,Web/Articles
The Gateway Pundit,https://www.thegatewaypundit.com/,23.56,14.97,Web/Articles
The Globe and Mail,http://theglobeandmail.com,-1.14,43.99,Web/Articles
The Grayzone,http://thegrayzone.com,-24.87,17.88,Web/Articles
The Guardian,https://www.theguardian.com/,-8.14,40.15,Web/Articles
The Hartmann Report,http://hartmannreport.com,-22.32,17.11,Web/Articles
The Hill,https://thehill.com/,-1.28,41.76,Web/Articles
The Independent,https://www.independent.co.uk/us,-6.88,38.49,Web/Articles
The Intercept,https://theintercept.com/,-14.01,37.43,Web/Articles
The Jimmy Dore Show,https://jimmydore.com/,-25.07,12.33,Podcast/Audio
The Lever,http://levernews.com,-17.42,36.18,Web/Articles
The Mark Levin Show,https://www.marklevinshow.com/,30.45,10.84,Podcast/Audio
The Marshall Project,http://themarshallproject.org,-6.00,46.17,Web/Articles
The Megyn Kelly Show,https://www.devilmaycaremedia.com/megynkellyshow,14.91,30.74,Podcast/Audio
The Nation,https://www.thenation.com/,-18.99,30.85,Web/Articles
The New Abnormal,https://www.thedailybeast.com/franchise/the-new-abnormal,-23.20,15.42,Podcast/Audio
The New York Times,https://www.nytimes.com/,-8.06,41.03,Web/Articles
The New Yorker,https://www.newyorker.com/news,-12.25,40.91,Web/Articles
The People's Voice,http://thepeoplesvoice.tv,24.50,14.32,Web/Articles
The Post & Email,http://thepostemail.com,23.42,15.22,Web/Articles
The Post Millennial,http://thepostmillennial.com,12.14,31.43,Web/Articles
The Root,http://theroot.com,-18.47,26.47,Web/Articles
The Rubin Report,https://podcasts.apple.com/us/podcast/the-rubin-report/id1052842770,22.97,22.24,Podcast/Audio
The Spectator World,http://thespectator.com,12.79,28.30,Web/Articles
The Tony Michaels Podcast,https://pod.link/1561049560,-30.67,13.73,Podcast/Audio
The Verge,http://theverge.com,-7.23,38.14,Web/Articles
The Washington Free Beacon,https://freebeacon.com/,14.27,23.86,Web/Articles
The Weather Channel,http://weather.com,-1.85,46.20,Web/Articles
The Week,https://www.theweek.com/,-10.69,38.39,Web/Articles
The Weekly Show with Jon Stewart,https://www.youtube.com/@WeeklyShowPodcast,-18.08,32.33,Podcast/Audio
The Will Cain Podcast,https://radio.foxnews.com/podcast/will-cain-podcast,15.11,29.33,Podcast/Audio
TheGrio,http://thegrio.com,-10.82,39.55,Web/Articles
Timcast IRL,https://timcast.com/channel/timcast-irl/,23.83,9.90,Podcast/Audio
Time Magazine,http://time.com/,-7.43,41.10,Web/Articles
TMZ,http://tmz.com,-4.40,34.60,Web/Articles
Townhall,http://townhall.com,19.52,25.05,Web/Articles
Truthout,https://truthout.org/,-16.87,33.35,Web/Articles
Turning Point USA,http://tpusa.com,16.97,20.60,Web/Articles
Twitchy,https://twitchy.com/,20.93,17.83,Web/Articles
TYT: The Conversation,https://www.youtube.com/@TYTConversation,-24.17,21.52,TV/Video
TYT: The Young Turks,http://tyt.com,-24.79,25.44,TV/Video
UPI,http://upi.com,-1.15,45.37,Web/Articles
